scene_id,sensor,acquisition_time_utc,area_name,n_vessels_true,truly_dark_n,spoofed_truths,ais_raw_messages,ais_after_cleaning,ais_candidates_in_footprint,sar_detections_n,matched_sar_ais_n,sar_only_dark_candidates_n,ais_only_n,identity_mismatch_warnings_n,ambiguous_matches_n,geofence_alerts_n,processing_time_sec,tp,fp,fn,precision,recall,f1,dark_precision,dark_recall,identity_mismatch_recall,ais_coverage_true,coast_fraction,thematic_map_output
SIM_0000,Sentinel-1 IW GRD (sim),2024-05-14 15:20:00,Taiwan Strait nearshore (sim),19,7,1,723,719,19,22,8,14,11,1,0,3,3.584,14,8,5,0.6364,0.7368,0.6829,0.4286,0.8571,1.0,0.727,0.193,Y
SIM_0001,GF-3 FSII (sim),2024-05-14 16:20:00,Taiwan Strait (sim),9,2,0,309,307,8,7,4,3,4,0,0,1,3.359,6,1,3,0.8571,0.6667,0.75,0.6667,1.0,,0.747,0.0,Y
SIM_0002,Sentinel-1 IW GRD (sim),2024-05-14 17:20:00,Taiwan Strait (sim),20,4,1,714,709,19,19,14,5,5,0,0,5,3.336,18,1,2,0.9474,0.9,0.9231,0.8,1.0,0.0,0.897,0.0,Y
SIM_0003,GF-3 FSII (sim),2024-05-14 18:20:00,Taiwan Strait nearshore (sim),20,4,0,873,871,23,26,15,11,8,1,0,4,3.837,19,7,1,0.7308,0.95,0.8261,0.3636,1.0,,0.794,0.084,Y
SIM_0004,Sentinel-1 IW GRD (sim),2024-05-14 19:20:00,Taiwan Strait (sim),14,1,0,616,613,16,12,11,1,5,3,0,1,3.446,12,0,2,1.0,0.8571,0.9231,1.0,1.0,,0.896,0.0,Y
SIM_0005,GF-3 FSII (sim),2024-05-14 20:20:00,Taiwan Strait (sim),28,5,1,1097,1095,29,34,22,12,7,1,0,6,3.483,26,8,2,0.7647,0.9286,0.8387,0.3333,0.8,1.0,0.776,0.0,Y
SIM_0006,Sentinel-1 IW GRD (sim),2024-05-14 21:20:00,Taiwan Strait (sim),30,5,1,1112,1107,29,25,18,7,11,1,0,6,3.657,22,3,8,0.88,0.7333,0.8,0.5714,0.8,1.0,0.743,0.0,Y
SIM_0007,GF-3 FSII (sim),2024-05-14 22:20:00,Taiwan Strait nearshore (sim),25,4,0,916,913,24,31,18,13,6,2,0,6,4.026,21,10,4,0.6774,0.84,0.75,0.2308,0.75,,0.874,0.193,Y
SIM_0008,Sentinel-1 IW GRD (sim),2024-05-14 23:20:00,Taiwan Strait (sim),7,1,0,268,263,7,8,6,2,1,1,0,1,3.216,7,1,0,0.875,1.0,0.9333,0.5,1.0,,0.848,0.0,Y
SIM_0009,GF-3 FSII (sim),2024-05-15 00:20:00,Taiwan Strait nearshore (sim),25,3,1,997,992,26,28,19,9,7,2,0,13,3.848,22,6,3,0.7857,0.88,0.8302,0.3333,1.0,1.0,0.835,0.165,Y
